vi,ji,e,v,k_R,k_Rerr,k_Q,k_Qerr,P0
0.0,0,20000.0,8.0,2.3317777236925677e-13,1.0539919317798577e-13,1.0748645869343809e-12,2.762387458867653e-13,21.051791736744523
0.0,0,20000.0,9.0,2.5118038215081323e-13,1.0954344315012258e-13,5.972850738557134e-13,2.0562290053473475e-13,21.051791736744523
0.0,0,20000.0,10.0,1.6461820455448218e-13,8.637805818389139e-14,3.522140996460979e-13,1.3358240340998124e-13,21.051791736744523
0.0,0,20000.0,11.0,1.6413836438686477e-13,9.292782349760507e-14,2.532202149420218e-13,1.1339847089977477e-13,21.051791736744523
0.0,0,20000.0,12.0,7.389956166175882e-14,5.3514281748890216e-14,1.5677400581662348e-13,8.885783888255708e-14,21.051791736744523
0.0,0,20000.0,13.0,7.90558932340911e-14,4.54904022812357e-14,8.116336749369164e-14,5.967878328520976e-14,21.051791736744523
0.0,0,20000.0,14.0,3.925182958379886e-14,3.609364363956397e-14,5.5468549437158036e-14,4.8513069845442e-14,21.051791736744523
0.0,0,20000.0,15.0,3.672133445608709e-14,2.4643318823018212e-14,2.2103046896546174e-14,2.0114222894129583e-14,21.051791736744523
0.0,0,20000.0,16.0,0.0,0.0,0.0,0.0,21.051791736744523
0.0,0,20000.0,17.0,0.0,0.0,0.0,0.0,21.051791736744523
0.0,0,20000.0,18.0,0.0,0.0,0.0,0.0,21.051791736744523
0.0,0,20000.0,19.0,0.0,0.0,0.0,0.0,21.051791736744523
0.0,0,20000.0,20.0,0.0,0.0,0.0,0.0,21.051791736744523
0.0,0,25000.0,0.0,1.4115969606627043e-12,1.9960280402689466e-13,1.7272002371846052e-09,7.319233665715154e-12,23.536618685764555
0.0,0,25000.0,1.0,9.334525830490442e-13,1.6462671985219795e-13,1.0889658983014832e-09,7.313168133947079e-12,23.536618685764555
0.0,0,25000.0,2.0,7.398733796145204e-13,1.5165606082984856e-13,5.782807739433139e-10,4.99897243254485e-12,23.536618685764555
0.0,0,25000.0,3.0,5.724667442111243e-13,1.3438289602386418e-13,3.1511631773368155e-10,3.385767434137645e-12,23.536618685764555
0.0,0,25000.0,4.0,4.576155821151621e-13,1.1762761741072478e-13,8.969759939064984e-11,1.7481410121587802e-12,23.536618685764555
0.0,0,25000.0,5.0,4.1547397255037375e-13,1.156941302004534e-13,3.474802446669482e-12,3.6526606502035623e-13,23.536618685764555
0.0,0,25000.0,6.0,3.3620792472093706e-13,9.472889375125109e-14,1.2582031354670536e-12,2.235591932806911e-13,23.536618685764555
0.0,0,25000.0,7.0,2.7594384044673983e-13,9.129212787374146e-14,8.74966512797961e-13,1.8293674458446894e-13,23.536618685764555
